date,open,high,low,close,volume,average,barCount
2025-05-07 14:15:00-04:00,408.39,409.83,408.21,409.45,33841.0,408.98,160
2025-05-07 14:30:00-04:00,409.61,411.33,409.33,410.7,60817.0,410.644,366
2025-05-07 14:45:00-04:00,410.79,411.94,409.26,411.72,56237.0,410.702,351
2025-05-07 15:00:00-04:00,411.67,411.75,410.7,411.03,48701.0,411.304,186
2025-05-07 15:15:00-04:00,411.26,411.45,409.41,409.41,57608.0,410.668,260
2025-05-07 15:30:00-04:00,409.46,412.8,409.36,411.55,173495.0,411.087,1122
2025-05-07 15:45:00-04:00,411.61,412.12,410.06,411.03,176909.0,411.167,1228
2025-05-08 09:30:00-04:00,412.99,413.8,412.94,413.32,109875.0,413.274,444
2025-05-08 09:45:00-04:00,413.25,413.34,412.47,412.95,30507.0,412.782,177
2025-05-08 10:00:00-04:00,412.88,413.42,411.72,411.96,46126.0,412.702,263
2025-05-08 10:15:00-04:00,411.94,413.31,411.88,413.28,28466.0,412.76,207
2025-05-08 10:30:00-04:00,413.37,413.95,412.72,413.08,39812.0,413.421,250
2025-05-08 10:45:00-04:00,413.11,413.24,411.57,412.1,37658.0,412.228,260
2025-05-08 11:00:00-04:00,412.12,413.39,411.89,413.34,33295.0,412.73,209
2025-05-08 11:15:00-04:00,413.3,415.55,413.28,414.84,161272.0,414.614,1157
2025-05-08 11:30:00-04:00,414.94,416.95,414.42,416.78,123096.0,415.853,719
2025-05-08 11:45:00-04:00,416.82,417.06,416.18,416.48,103628.0,416.714,550
2025-05-08 12:00:00-04:00,416.54,416.94,416.49,416.91,40828.0,416.753,230
2025-05-08 12:15:00-04:00,416.9,417.25,416.66,416.69,29040.0,417.022,136
2025-05-08 12:30:00-04:00,416.75,417.5,416.71,417.42,21322.0,417.142,102
2025-05-08 12:45:00-04:00,417.34,417.75,417.27,417.67,22305.0,417.512,129
2025-05-08 13:00:00-04:00,417.61,417.64,416.88,417.0,31161.0,417.16,171
2025-05-08 13:15:00-04:00,417.03,417.23,416.78,416.88,22390.0,417.001,113
2025-05-08 13:30:00-04:00,416.89,416.97,416.24,416.46,24030.0,416.475,93
2025-05-08 13:45:00-04:00,416.47,416.48,415.57,415.69,21560.0,416.129,116
2025-05-08 14:00:00-04:00,415.5,416.23,415.48,416.17,24730.0,415.887,117
2025-05-08 14:15:00-04:00,416.16,416.41,415.92,415.95,31740.0,416.125,127
2025-05-08 14:30:00-04:00,416.0,416.68,416.0,416.66,29051.0,416.493,158
2025-05-08 14:45:00-04:00,416.67,416.71,416.17,416.25,16757.0,416.445,79
2025-05-08 15:00:00-04:00,416.21,416.21,415.63,415.83,15876.0,415.861,103
2025-05-08 15:15:00-04:00,415.78,416.87,415.69,416.63,47470.0,416.499,325
2025-05-08 15:30:00-04:00,416.68,416.68,415.76,415.95,35225.0,416.168,140
2025-05-08 15:45:00-04:00,415.78,415.81,413.62,413.86,153181.0,414.237,919
2025-05-09 09:30:00-04:00,414.44,415.17,414.18,414.21,119996.0,414.728,627
2025-05-09 09:45:00-04:00,414.18,414.72,413.86,414.69,54864.0,414.275,214
2025-05-09 10:00:00-04:00,414.62,414.97,414.25,414.5,29442.0,414.638,136
2025-05-09 10:15:00-04:00,414.38,414.48,412.86,413.22,40367.0,413.645,258
2025-05-09 10:30:00-04:00,413.22,413.34,412.28,412.94,62242.0,412.822,372
